tweet_id,expected_faction,polarization_level,topic,temporal_period,engagement_pattern
2001,progressive,high,healthcare,early,high_same_faction
2002,conservative,high,healthcare,early,high_same_faction
2003,moderate,low,healthcare,early,moderate_all
2004,progressive,high,healthcare,early,high_same_faction
2005,conservative,high,healthcare,early,high_same_faction
2006,moderate,low,healthcare,early,moderate_all
2007,progressive,high,healthcare,early,high_same_faction
2008,conservative,high,healthcare,early,high_same_faction
2009,moderate,low,healthcare,early,moderate_all
2010,progressive,high,healthcare,early,high_same_faction
2011,progressive,high,climate,early,high_same_faction
2012,conservative,high,climate,early,high_same_faction
2013,moderate,low,climate,early,moderate_all
2014,progressive,high,climate,early,high_same_faction
2015,conservative,high,climate,early,high_same_faction
2016,moderate,low,climate,early,moderate_all
2017,progressive,high,climate,early,high_same_faction
2018,conservative,high,climate,early,high_same_faction
2019,moderate,low,climate,early,moderate_all
2020,progressive,high,climate,early,high_same_faction
2021,progressive,very_high,taxation,early,very_high_same_faction
2022,conservative,very_high,taxation,early,very_high_same_faction
2023,moderate,low,taxation,early,moderate_all
2024,progressive,high,taxation,early,high_same_faction
2025,conservative,high,taxation,early,high_same_faction
2026,moderate,low,taxation,early,moderate_all
2027,progressive,high,taxation,early,high_same_faction
2028,conservative,high,taxation,early,high_same_faction
2029,moderate,low,taxation,early,moderate_all
2030,moderate,low,taxation,early,moderate_all
2061,progressive,very_high,healthcare,controversy,very_high_same_faction
2062,conservative,very_high,healthcare,controversy,very_high_same_faction
2063,moderate,medium,healthcare,controversy,medium_all
2071,progressive,very_high,climate,controversy,very_high_same_faction
2072,conservative,very_high,climate,controversy,very_high_same_faction
2073,moderate,medium,climate,controversy,medium_all
2081,progressive,very_high,taxation,peak_controversy,very_high_same_faction
2082,conservative,very_high,taxation,peak_controversy,very_high_same_faction
2083,moderate,medium,taxation,peak_controversy,medium_all
2091,progressive,very_high,healthcare,peak_controversy,very_high_same_faction
2092,conservative,very_high,healthcare,peak_controversy,very_high_same_faction
2101,conservative,very_high,climate,peak_controversy,very_high_same_faction
2102,progressive,very_high,climate,peak_controversy,very_high_same_faction
2103,moderate,medium,climate,peak_controversy,medium_all
2111,conservative,very_high,climate,peak_controversy,very_high_same_faction
2112,progressive,very_high,climate,peak_controversy,very_high_same_faction
2113,moderate,medium,climate,peak_controversy,medium_all
2121,progressive,very_high,inequality,peak_controversy,very_high_same_faction
2122,conservative,very_high,inequality,peak_controversy,very_high_same_faction
2123,moderate,medium,inequality,peak_controversy,medium_all
2131,conservative,very_high,immigration,peak_controversy,very_high_same_faction
2132,progressive,very_high,immigration,peak_controversy,very_high_same_faction
2133,moderate,medium,immigration,peak_controversy,medium_all
2141,conservative,very_high,education,peak_controversy,very_high_same_faction
2142,progressive,very_high,education,peak_controversy,very_high_same_faction
2143,moderate,medium,education,peak_controversy,medium_all
2151,conservative,very_high,gun_policy,peak_controversy,very_high_same_faction
2152,progressive,very_high,gun_policy,peak_controversy,very_high_same_faction
2153,moderate,medium,gun_policy,peak_controversy,medium_all
2161,conservative,very_high,family_values,peak_controversy,very_high_same_faction
2162,progressive,very_high,family_values,peak_controversy,very_high_same_faction
2163,moderate,medium,family_values,peak_controversy,medium_all
2171,conservative,high,trade,peak_controversy,high_same_faction
2172,progressive,high,trade,peak_controversy,high_same_faction
