tweet,tweet_analytics,date,query,username,display_name,tweet_id
"Social justice requires dismantling systems of oppression and inequality!","{""replies"": 1234, ""retweets"": 2467, ""quotes"": 289, ""likes"": 15678, ""views"": 87200}",2024-11-30 08:00:00-06:00,final_social_justice_debate,dismantle_systems,Dismantle Systems,2671
"Merit and individual achievement should determine outcomes, not group identity!","{""replies"": 1167, ""retweets"": 2334, ""quotes"": 278, ""likes"": 14890, ""views"": 82500}",2024-11-30 09:30:00-06:00,final_social_justice_debate,merit_based,Merit Based,2672
"Historical injustices require active remediation through targeted policies","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-11-30 10:15:00-06:00,final_social_justice_debate,remediate_injustice,Remediate Injustice,2673
"Equality of opportunity matters more than equality of outcome","{""replies"": 612, ""retweets"": 1234, ""quotes"": 145, ""likes"": 7890, ""views"": 43600}",2024-11-30 11:45:00-06:00,final_social_justice_debate,equal_opportunity,Equal Opportunity,2674
"Systemic racism pervades institutions and requires comprehensive reform","{""replies"": 723, ""retweets"": 1445, ""quotes"": 167, ""likes"": 9234, ""views"": 51000}",2024-11-30 12:20:00-06:00,final_social_justice_debate,systemic_racism,Systemic Racism,2675
"Reverse discrimination victimizes innocent people for past wrongs","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-11-30 13:00:00-06:00,final_social_justice_debate,reverse_discrimination,Reverse Discrimination,2676
"Intersectionality reveals how multiple forms of oppression interact","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-11-30 14:30:00-06:00,final_social_justice_debate,intersectionality,Intersectionality,2677
"Class-based affirmative action helps the truly disadvantaged","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-11-30 15:15:00-06:00,final_social_justice_debate,class_affirmative_action,Class Affirmative Action,2678
"Economic inequality is the root cause of most social problems","{""replies"": 289, ""retweets"": 567, ""quotes"": 64, ""likes"": 3567, ""views"": 20600}",2024-11-30 16:45:00-06:00,final_social_justice_debate,economic_inequality,Economic Inequality,2679
"Cultural competency training builds more inclusive institutions","{""replies"": 156, ""retweets"": 289, ""quotes"": 33, ""likes"": 1789, ""views"": 10500}",2024-11-30 17:20:00-06:00,final_social_justice_debate,cultural_competency,Cultural Competency,2680
"Free speech allows all viewpoints to be heard and debated!","{""replies"": 1345, ""retweets"": 2689, ""quotes"": 312, ""likes"": 17890, ""views"": 98600}",2024-12-01 09:15:00-06:00,final_free_speech_debate,free_speech_absolute,Free Speech Absolute,2681
"Hate speech causes real harm and should have consequences!","{""replies"": 1278, ""retweets"": 2556, ""quotes"": 298, ""likes"": 16890, ""views"": 93400}",2024-12-01 10:45:00-06:00,final_free_speech_debate,hate_speech_harm,Hate Speech Harm,2682
"Context and intent matter when evaluating controversial expression","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-12-01 11:20:00-06:00,final_free_speech_debate,context_matters,Context Matters,2683
"Academic freedom requires protecting unpopular research and teaching","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-12-01 12:00:00-06:00,final_free_speech_debate,academic_freedom,Academic Freedom,2684
"Safe spaces protect marginalized students from psychological harm","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-12-01 13:30:00-06:00,final_free_speech_debate,safe_spaces,Safe Spaces,2685
"Open dialogue requires good faith engagement across ideological differences","{""replies"": 189, ""retweets"": 356, ""quotes"": 41, ""likes"": 2234, ""views"": 13400}",2024-12-01 14:15:00-06:00,final_free_speech_debate,good_faith_dialogue,Good Faith Dialogue,2686
"Cancel culture chills expression and prevents necessary conversations","{""replies"": 723, ""retweets"": 1445, ""quotes"": 167, ""likes"": 9234, ""views"": 51000}",2024-12-01 15:45:00-06:00,final_free_speech_debate,cancel_culture_chill,Cancel Culture Chill,2687
"Accountability for harmful speech protects vulnerable communities","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-12-01 16:20:00-06:00,final_free_speech_debate,speech_accountability,Speech Accountability,2688
"Truth emerges through the marketplace of ideas and open debate","{""replies"": 289, ""retweets"": 567, ""quotes"": 64, ""likes"": 3567, ""views"": 20600}",2024-12-01 17:00:00-06:00,final_free_speech_debate,marketplace_ideas,Marketplace Ideas,2689
